区名,年,告示日,投票日,定数,候補者数,執行理由,有権者数,投票率%,前回投票率
港,2011,2011/4/17,2011/4/24,34,54,任期満了,170885.0,35.49,
港,2015,2015/4/19,2015/4/26,34,47,任期満了,183075.0,36.02,35.49
港,2019,2019/4/14,2019/4/21,34,54,任期満了,195335.0,35.37,36.02
新宿,2011,2011/4/17,2011/4/24,38,62,任期満了,241826.0,38.69,
新宿,2015,2015/4/19,2015/4/26,38,52,任期満了,248219.0,38.27,38.69
新宿,2019,2019/4/14,2019/4/21,38,53,任期満了,261840.0,37.93,38.27
文京,2011,2011/4/17,2011/4/24,34,47,任期満了,158850.0,48.53,
文京,2015,2015/4/19,2015/4/26,34,46,任期満了,163934.0,49.93,48.53
文京,2019,2019/4/14,2019/4/21,34,44,任期満了,174823.0,50.59,49.93
墨田,2011,2011/4/17,2011/4/24,32,43,任期満了,201788.0,47.21,
墨田,2015,2015/4/19,2015/4/26,32,42,任期満了,208630.0,44.78,47.21
墨田,2019,2019/4/14,2019/4/21,32,37,任期満了,221201.0,43.78,44.78
江東,2011,2011/4/17,2011/4/24,44,61,任期満了,373344.0,45.76,
江東,2015,2015/4/19,2015/4/26,44,60,任期満了,387156.0,46.38,45.76
江東,2019,2019/4/14,2019/4/21,44,57,任期満了,406767.0,46.74,46.38
中野,2011,2011/4/17,2011/4/24,42,60,任期満了,255841.0,40.22,
中野,2015,2015/4/19,2015/4/26,42,59,任期満了,260671.0,40.44,40.22
中野,2019,2019/4/14,2019/4/21,42,60,任期満了,270940.0,40.46,40.44
杉並,2011,2011/4/17,2011/4/24,48,72,任期満了,444787.0,39.82,
杉並,2015,2015/4/19,2015/4/26,48,70,任期満了,451579.0,40.12,39.82
杉並,2019,2019/4/14,2019/4/21,48,70,任期満了,470527.0,39.47,40.12
豊島,2011,2011/4/17,2011/4/24,36,53,任期満了,210818.0,43.08,
豊島,2015,2015/4/19,2015/4/26,36,55,任期満了,217370.0,42.28,43.08
豊島,2019,2019/4/14,2019/4/21,36,51,任期満了,223924.0,42.18,42.28
北,2011,2011/4/17,2011/4/24,44,55,任期満了,269306.0,49.76,
北,2015,2015/4/19,2015/4/26,40,50,任期満了,272295.0,48.84,49.76
北,2019,2019/4/14,2019/4/21,40,52,任期満了,281619.0,51.74,48.84
荒川,2011,2011/4/17,2011/4/24,32,38,任期満了,157198.0,46.23,
荒川,2015,2015/4/19,2015/4/26,32,36,任期満了,159572.0,45.46,46.23
荒川,2019,2019/4/14,2019/4/21,32,41,任期満了,165755.0,44.0,45.46
板橋,2011,2011/4/17,2011/4/24,46,61,任期満了,429978.0,44.02,
板橋,2015,2015/4/19,2015/4/26,46,62,任期満了,437977.0,43.98,44.02
板橋,2019,2019/4/14,2019/4/21,46,56,任期満了,458712.0,43.96,43.98
練馬,2011,2011/4/17,2011/4/24,50,68,任期満了,562166.0,45.33,
練馬,2015,2015/4/19,2015/4/26,50,70,任期満了,570403.0,42.73,45.33
練馬,2019,2019/4/14,2019/4/21,50,62,任期満了,595974.0,41.65,42.73
足立,2011,2011/5/8,2011/5/15,45,63,任期満了,526551.0,47.33,
足立,2015,2015/5/10,2015/5/17,45,55,任期満了,533338.0,46.07,47.33
足立,2019,2019/5/19,2019/5/26,45,57,任期満了,554382.0,42.89,46.07
葛飾,2013,2013/11/3,2013/11/10,40,54,任期満了,358492.0,41.67,
葛飾,2017,2017/11/5,2017/11/12,40,59,任期満了,372329.0,43.62,41.67
江戸川,2011,2011/4/17,2011/4/24,44,58,任期満了,519502.0,43.51,
江戸川,2015,2015/4/19,2015/4/26,44,58,任期満了,523417.0,43.12,43.51
江戸川,2019,2019/4/14,2019/4/21,44,58,任期満了,547625.0,42.4,43.12
