,町丁目名,世帯数,区
0,北品川一丁目,2224,品川区
1,北品川二丁目,1976,品川区
2,北品川三丁目,1953,品川区
3,北品川四丁目,767,品川区
4,北品川五丁目,3372,品川区
5,北品川六丁目,424,品川区
6,東品川一丁目,2619,品川区
7,東品川二丁目,1094,品川区
8,東品川三丁目,4925,品川区
9,東品川四丁目,3719,品川区
10,東品川五丁目,597,品川区
11,南品川一丁目,864,品川区
12,南品川二丁目,1331,品川区
13,南品川三丁目,1108,品川区
14,南品川四丁目,2583,品川区
15,南品川五丁目,3337,品川区
16,南品川六丁目,2083,品川区
17,西品川一丁目,2291,品川区
18,西品川二丁目,2420,品川区
19,西品川三丁目,1680,品川区
20,広町一丁目,47,品川区
21,広町二丁目,0,品川区
23,上大崎一丁目,1962,品川区
24,上大崎二丁目,2195,品川区
25,上大崎三丁目,2629,品川区
26,上大崎四丁目,849,品川区
27,東五反田一丁目,1732,品川区
28,東五反田二丁目,2451,品川区
29,東五反田三丁目,1239,品川区
30,東五反田四丁目,1436,品川区
31,東五反田五丁目,1947,品川区
32,西五反田一丁目,553,品川区
33,西五反田二丁目,1427,品川区
34,西五反田三丁目,3595,品川区
35,西五反田四丁目,2692,品川区
36,西五反田五丁目,2991,品川区
37,西五反田六丁目,1985,品川区
38,西五反田七丁目,811,品川区
39,西五反田八丁目,1873,品川区
40,大崎一丁目,1349,品川区
41,大崎二丁目,2042,品川区
42,大崎三丁目,1668,品川区
43,大崎四丁目,1408,品川区
44,大崎五丁目,1353,品川区
46,東大井一丁目,3056,品川区
47,東大井二丁目,2522,品川区
48,東大井三丁目,2776,品川区
49,東大井四丁目,1291,品川区
50,東大井五丁目,2389,品川区
51,東大井六丁目,1019,品川区
52,南大井一丁目,1890,品川区
53,南大井二丁目,2158,品川区
54,南大井三丁目,4341,品川区
55,南大井四丁目,2267,品川区
56,南大井五丁目,2889,品川区
57,南大井六丁目,3051,品川区
58,勝島一丁目,2255,品川区
59,勝島二丁目,149,品川区
60,勝島三丁目,0,品川区
61,大井一丁目,3121,品川区
62,大井二丁目,1647,品川区
63,大井三丁目,2625,品川区
64,大井四丁目,2585,品川区
65,大井五丁目,2285,品川区
66,大井六丁目,1488,品川区
67,大井七丁目,1778,品川区
68,西大井一丁目,1570,品川区
69,西大井二丁目,1844,品川区
70,西大井三丁目,1121,品川区
71,西大井四丁目,1752,品川区
72,西大井五丁目,2267,品川区
73,西大井六丁目,1864,品川区
75,小山台一丁目,2774,品川区
76,小山台二丁目,421,品川区
77,小山一丁目,1204,品川区
78,小山二丁目,1759,品川区
79,小山三丁目,2531,品川区
80,小山四丁目,1728,品川区
81,小山五丁目,1622,品川区
82,小山六丁目,2430,品川区
83,小山七丁目,659,品川区
84,荏原一丁目,1845,品川区
85,荏原二丁目,1644,品川区
86,荏原三丁目,1568,品川区
87,荏原四丁目,2145,品川区
88,荏原五丁目,1563,品川区
89,荏原六丁目,2086,品川区
90,荏原七丁目,1387,品川区
91,平塚一丁目,2123,品川区
92,平塚二丁目,2256,品川区
93,平塚三丁目,1597,品川区
94,旗の台一丁目,537,品川区
95,旗の台二丁目,1750,品川区
96,旗の台三丁目,976,品川区
97,旗の台四丁目,1572,品川区
98,旗の台五丁目,2204,品川区
99,旗の台六丁目,1981,品川区
100,中延一丁目,1194,品川区
101,中延二丁目,1616,品川区
102,中延三丁目,1022,品川区
103,中延四丁目,1970,品川区
104,中延五丁目,1766,品川区
105,中延六丁目,1754,品川区
106,西中延一丁目,1391,品川区
107,西中延二丁目,1617,品川区
108,西中延三丁目,1185,品川区
109,東中延一丁目,1313,品川区
110,東中延二丁目,1076,品川区
111,戸越一丁目,2486,品川区
112,戸越二丁目,1175,品川区
113,戸越三丁目,1485,品川区
114,戸越四丁目,1152,品川区
115,戸越五丁目,1766,品川区
116,戸越六丁目,2036,品川区
117,豊町一丁目,1608,品川区
118,豊町二丁目,1496,品川区
119,豊町三丁目,783,品川区
120,豊町四丁目,1506,品川区
121,豊町五丁目,933,品川区
122,豊町六丁目,1944,品川区
123,二葉一丁目,2302,品川区
124,二葉二丁目,1336,品川区
125,二葉三丁目,1537,品川区
126,二葉四丁目,1831,品川区
128,八潮一丁目,0,品川区
129,八潮二丁目,0,品川区
130,八潮三丁目,18,品川区
131,八潮四丁目,0,品川区
132,八潮五丁目,5708,品川区
133,東八潮,0,品川区
